 Wavelength  FilterTrans          PCE 
      0.751  8.85324e-07  6.25743e-07 
      0.752  8.45449e-07  5.97737e-07 
      0.753  8.78673e-07  6.21201e-07 
      0.754  8.75157e-07  6.18831e-07 
      0.755  8.35332e-07  5.90666e-07 
      0.756  8.25228e-07  5.83429e-07 
      0.757  8.10766e-07  5.73112e-07 
      0.758  9.32183e-07  6.58832e-07 
      0.759  9.64398e-07  6.81537e-07 
       0.76  1.01189e-06  7.14899e-07 
      0.761  9.41785e-07  6.65032e-07 
      0.762  9.76553e-07  6.89462e-07 
      0.763  1.08512e-06  7.65895e-07 
      0.764  1.07566e-06  7.58741e-07 
      0.765  1.03532e-06  7.30076e-07 
      0.766  9.33219e-07  6.57638e-07 
      0.767  1.00193e-06  7.05531e-07 
      0.768  1.01028e-06  7.10958e-07 
      0.769  1.09337e-06  7.68906e-07 
       0.77   1.1598e-06  8.15194e-07 
      0.771  1.08847e-06  7.64827e-07 
      0.772  1.21571e-06  8.54034e-07 
      0.773  1.24239e-06  8.72407e-07 
      0.774  1.23393e-06   8.6581e-07 
      0.775   1.2674e-06  8.88974e-07 
      0.776  1.41866e-06  9.94642e-07 
      0.777  1.53566e-06  1.07628e-06 
      0.778  1.66572e-06  1.16666e-06 
      0.779  2.44896e-06  1.71402e-06 
       0.78  3.98711e-06  2.78952e-06 
      0.781  7.02614e-06  4.91083e-06 
      0.782   1.4387e-05  1.00487e-05 
      0.783  3.30647e-05   2.3079e-05 
      0.784  7.88892e-05  5.50126e-05 
      0.785  0.000188359  0.000131258 
      0.786  0.000468187  0.000325949 
      0.787     0.001248  0.000868163 
      0.788   0.00349741   0.00243038 
      0.789   0.00972894   0.00675581 
       0.79    0.0253918    0.0176132 
      0.791    0.0585776    0.0405978 
      0.792     0.116005     0.080304 
      0.793      0.19934     0.137887 
      0.794     0.303442      0.20964 
      0.795     0.415515     0.286848 
      0.796     0.524289     0.361534 
      0.797     0.623563     0.429559 
      0.798     0.707472     0.486813 
      0.799     0.764076     0.525286 
        0.8      0.81023     0.556511 
      0.801     0.840402     0.576747 
      0.802     0.862077     0.591255 
      0.803     0.881172       0.6039 
